7602
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CNR|NULOS|TOTAL|BXGR|CSP|JAM|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|361|B|1|0|U|639|3|8|1|E0101|34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|15|57|36|4|N
1|1|371|C|1|0|R|620|3|8|1|E0101|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
1|1|396|S|1|0|U|0|5|7|1|E0101|61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
1|1|397|C|1|0|U|717|5|7|1|E0101|53|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
1|1|397|C|10|0|U|716|5|7|1|E0101|55|0|81|27|0|27|48|50|0|0|0|0|0|0|13|0|5|9|260|108|90|48|2024|4|25|15|30|24|4|N
1|1|402|B|1|0|M|576|5|4|1|E0101|42|0|71|29|8|35|113|106|0|0|0|0|0|0|3|0|3|12|380|100|152|113|2024|4|25|15|47|19|4|N
1|1|403|C|5|0|U|679|5|4|1|E0101|42|2|75|63|26|119|213|7|0|0|0|0|0|3|17|0|0|12|537|140|172|213|2024|4|25|15|43|50|4|N
1|1|405|C|5|0|M|707|5|7|1|E0101|67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
1|1|410|E|1|1|M|520|5|8|1|E0101|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
1|1|412|B|1|0|M|675|5|7|1|E0101|71|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
