80
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|FXM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA_FXM|PVEM_PT_MORENA|PVEM_PT_FXM|PVEM_MORENA_FXM|PT_MORENA_FXM|PVEM_PT|PVEM_MORENA|PVEM_FXM|PT_MORENA|PT_FXM|MORENA_FXM|CNR|NULOS|TOTAL|JFYZ|NRNG|HDEB|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
30|1|2824|C|1|0|U|634|124|1|272|E3001|8|22|39|31|5|6|77|9|5|12|30|24|0|6|5|5|3|8|7|10|7|5|6|0|1|0|323|158|87|77|2024|4|25|15|30|5|4|N
30|2|122|B|1|0|R|408|8|4|273|E3002|63|11|26|10|3|4|65|3|4|12|3|11|1|8|3|2|5|10|2|8|4|2|4|0|1|0|202|74|62|65|2024|4|25|15|33|19|4|N
30|2|487|E|1|0|R|530|28|4|273|E3002|2|21|17|13|5|9|95|2|7|11|10|8|3|6|4|2|7|11|5|11|7|5|7|0|0|0|266|83|88|95|2024|4|25|15|33|55|4|N
30|2|490|B|1|0|R|413|28|4|273|E3002|4|22|22|7|8|1|78|2|2|9|5|10|0|2|17|1|9|4|6|6|3|5|5|0|1|0|225|75|71|78|2024|4|25|15|30|54|4|N
30|2|1353|B|1|0|R|497|60|2|273|E3002|124|16|11|11|9|9|94|3|8|15|1|11|0|7|7|2|4|8|10|12|3|5|11|1|0|0|258|65|99|94|2024|4|25|13|16|54|4|N
30|3|1229|B|1|0|U|387|50|26|274|E3003|9|12|10|14|7|3|71|9|6|5|12|12|1|1|5|3|3|12|5|0|1|5|2|0|2|0|201|66|62|71|2024|4|25|13|33|31|4|N
30|4|549|C|1|0|U|740|29|16|275|E3004|108|18|18|11|7|8|186|9|5|7|19|13|3|8|1|6|5|6|5|6|0|0|0|0|0|0|341|89|66|186|2024|4|25|15|5|3|4|N
30|4|563|C|1|0|U|563|29|16|275|E3004|114|14|16|5|3|4|134|1|3|13|12|13|3|5|3|2|1|1|6|3|3|1|3|0|20|2|271|76|39|134|2024|4|25|15|24|9|4|N
30|4|4381|B|1|0|U|679|192|15|275|E3004|52|13|17|8|5|11|147|7|0|17|20|16|6|5|6|3|5|0|4|5|4|2|6|0|24|4|335|97|63|147|2024|4|25|14|16|41|4|N
30|4|4442|C|1|0|U|448|192|15|275|E3004|58|11|5|4|3|3|110|6|3|9|12|4|5|3|8|1|4|2|3|5|0|0|0|0|13|1|215|50|41|110|2024|4|25|15|18|36|4|N
