350
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|FXM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA_FXM|PVEM_PT_MORENA|PVEM_PT_FXM|PVEM_MORENA_FXM|PT_MORENA_FXM|PVEM_PT|PVEM_MORENA|PVEM_FXM|PT_MORENA|PT_FXM|MORENA_FXM|CNR|NULOS|TOTAL|JFYZ|NRNG|HDEB|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
30|1|699|B|1|0|R|598|37|2|272|E3001|85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|1321|C|1|0|U|528|57|2|272|E3001|109|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|1725|B|1|0|R|610|80|2|272|E3001|126|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|2781|E|1|0|R|259|122|1|272|E3001|70|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|2795|E|1|0|R|199|122|1|272|E3001|71|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|2814|B|1|0|U|738|124|1|272|E3001|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|2819|C|2|0|U|673|124|1|272|E3001|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|2824|C|1|0|U|634|124|1|272|E3001|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|2865|C|1|0|U|441|124|1|272|E3001|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3071|C|2|0|U|513|130|2|272|E3001|116|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3222|B|1|0|U|599|133|1|272|E3001|53|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3241|B|1|0|U|618|133|1|272|E3001|40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3550|B|1|0|R|445|151|1|272|E3001|73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3583|B|1|0|R|212|153|1|272|E3001|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3586|B|1|0|R|417|153|1|272|E3001|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3613|C|1|0|U|622|156|2|272|E3001|130|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3624|C|1|0|U|678|156|2|272|E3001|140|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3639|C|1|0|R|683|156|2|272|E3001|143|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|3654|C|2|0|R|608|156|2|272|E3001|151|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|1|4707|C|1|0|R|451|207|1|272|E3001|101|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|122|B|1|0|R|408|8|4|273|E3002|63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|136|C|2|0|R|524|8|4|273|E3002|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|138|B|1|0|R|540|8|4|273|E3002|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|141|C|1|0|R|553|8|4|273|E3002|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|148|C|1|0|R|432|8|4|273|E3002|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|329|S|1|0|U|0|15|1|273|E3002|132|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|487|E|1|0|R|530|28|4|273|E3002|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|490|B|1|0|R|413|28|4|273|E3002|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|629|C|1|0|R|650|33|4|273|E3002|56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|1344|B|1|0|M|564|60|2|273|E3002|109|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|1353|B|1|0|R|497|60|2|273|E3002|124|16|11|11|9|9|94|3|8|15|1|11|0|7|7|2|4|8|10|12|3|5|11|1|0|0|258|65|99|94|2024|4|25|13|16|54|4|N
30|2|1376|B|1|0|R|466|60|2|273|E3002|125|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|1407|B|1|0|R|240|62|1|273|E3002|136|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|1625|E|1|0|M|430|74|4|273|E3002|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|1753|C|1|0|R|582|82|4|273|E3002|103|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|1761|B|1|0|R|467|82|4|273|E3002|103|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|3765|C|1|0|R|709|166|2|273|E3002|145|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|2|4555|E|1|0|R|168|198|4|273|E3002|76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|46|C|1|0|R|551|3|27|274|E3003|55|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1195|S|1|0|U|0|50|26|274|E3003|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1204|C|1|0|M|455|50|26|274|E3003|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1229|B|1|0|U|387|50|26|274|E3003|9|12|10|14|7|3|71|9|6|5|12|12|1|1|5|3|3|12|5|0|1|5|2|0|2|0|201|66|62|71|2024|4|25|13|33|31|4|N
30|3|1242|B|1|0|R|637|50|26|274|E3003|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1395|B|1|0|R|244|61|26|274|E3003|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1396|B|1|0|R|745|61|26|274|E3003|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1396|C|1|0|R|745|61|26|274|E3003|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1703|C|2|0|U|719|79|24|274|E3003|118|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1708|B|1|0|U|629|79|24|274|E3003|124|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1717|C|1|0|R|539|79|24|274|E3003|129|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
30|3|1717|E|1|0|R|658|79|24|274|E3003|129|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
