sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
9|18|PRI_PRD|MARCELINO CASTAÑEDA NAVARRETE|RAUL JIMENEZ RODRIGUEZ
9|19|PAN|JAZMIN ANGELICA PILLE GUZMAN|TANIA NANCY LARREA MEDINA
9|19|PRI|JAZMIN ANGELICA PILLE GUZMAN|TANIA NANCY LARREA MEDINA
9|19|PRD|JAZMIN ANGELICA PILLE GUZMAN|TANIA NANCY LARREA MEDINA
9|19|PVEM|MARIA DEL CARMEN CRUZ CANDIA|MARIA EUGENIA MARTINEZ MARTINEZ
9|19|PT|ANDREA NATALIA IDALIAS OTERO|ELVIA BARRON MEJIA
9|19|MOVIMIENTO CIUDADANO|GUADALUPE MARCELA TORRES ESCUTIA|NATALIA BUITRON LOZANO
9|19|MORENA|ALEIDA ALAVEZ RUIZ|ANA LILIA FLORES GALINDO
9|19|PES|PAULINA BARROSO MORA|YUMIKO LETICIA IVONNE GONZALEZ CARRILLO
9|19|RSP|MARIA DEL CARMEN HUERTA GRAJALES|MARIA ISABEL ESQUIVEL VALLE
9|19|FS X MÉXICO|MARY CARMEN LOPEZ MONROY|IRMA JUAREZ LEYVA
9|19|PAN_PRI_PRD|JAZMIN ANGELICA PILLE GUZMAN|TANIA NANCY LARREA MEDINA
9|19|PAN_PRI|JAZMIN ANGELICA PILLE GUZMAN|TANIA NANCY LARREA MEDINA
9|19|PAN_PRD|JAZMIN ANGELICA PILLE GUZMAN|TANIA NANCY LARREA MEDINA
9|19|PRI_PRD|JAZMIN ANGELICA PILLE GUZMAN|TANIA NANCY LARREA MEDINA
9|20|PAN|SINDY AGUILAR MARTINEZ|MA CONCEPCION CASTRO SANCHEZ
9|20|PRI|SINDY AGUILAR MARTINEZ|MA CONCEPCION CASTRO SANCHEZ
9|20|PRD|SINDY AGUILAR MARTINEZ|MA CONCEPCION CASTRO SANCHEZ
9|20|PVEM|ANA KARINA ROJO PIMENTEL|ESPERANZA SERRATO PEREZ
9|20|PT|ANA KARINA ROJO PIMENTEL|ESPERANZA SERRATO PEREZ
9|20|MOVIMIENTO CIUDADANO|ARACELI CARMEN SANCHEZ GUERRERO|MACRINA MONTERO HERNANDEZ
9|20|MORENA|ANA KARINA ROJO PIMENTEL|ESPERANZA SERRATO PEREZ
9|20|PES|ROSARIO ROCIO OLMOS LOPEZ|ARACELI BARROSO MORA
9|20|RSP|FERNANDO AVILEZ TOSTADO|JOSE VICTOR RODRIGUEZ NAJERA
9|20|FS X MÉXICO|EDUARDO FABIAN AGUILAR SEDANO|TALINA ALONSO ROMO
9|20|PAN_PRI_PRD|SINDY AGUILAR MARTINEZ|MA CONCEPCION CASTRO SANCHEZ
9|20|PAN_PRI|SINDY AGUILAR MARTINEZ|MA CONCEPCION CASTRO SANCHEZ
9|20|PAN_PRD|SINDY AGUILAR MARTINEZ|MA CONCEPCION CASTRO SANCHEZ
9|20|PRI_PRD|SINDY AGUILAR MARTINEZ|MA CONCEPCION CASTRO SANCHEZ
9|20|PVEM_PT_MORENA|ANA KARINA ROJO PIMENTEL|ESPERANZA SERRATO PEREZ
9|20|PVEM_PT|ANA KARINA ROJO PIMENTEL|ESPERANZA SERRATO PEREZ
9|20|PVEM_MORENA|ANA KARINA ROJO PIMENTEL|ESPERANZA SERRATO PEREZ
9|20|PT_MORENA|ANA KARINA ROJO PIMENTEL|ESPERANZA SERRATO PEREZ
9|21|PAN|JOSE LUIS BARAJAS MEDINA|RAUL TINTOR TORRES
9|21|PRI|JOSE LUIS BARAJAS MEDINA|RAUL TINTOR TORRES
9|21|PRD|JOSE LUIS BARAJAS MEDINA|RAUL TINTOR TORRES
9|21|PVEM|JUAN CARLOS ROBLES SIGALES|ERNESTO AGUILAR RIOJA
9|21|PT|EFREN ENRIQUEZ SORIANO|ALEJANDRO BALTAZAR LOPEZ
9|21|MOVIMIENTO CIUDADANO|FERNANDO MARTINEZ OROZCO|DANIEL ROSALES AURELIO
9|21|MORENA|FLOR IVONE MORALES MIRANDA|KAREN IVETTE AUDIFFRED FERNANDEZ
9|21|PES|LUIS DANIEL NAVA ROMERO|SUSANA ARANDA HERNANDEZ
9|21|RSP|ROGELIO ROMULO ENRIQUE GUERRERO LOPEZ|RENE DE LA CRUZ URZUA
9|21|FS X MÉXICO|MARIA DE LOS ANGELES MARTINEZ AGUSTIN|ALMA DELIA PEREZ PEREZ
9|21|PAN_PRI_PRD|JOSE LUIS BARAJAS MEDINA|RAUL TINTOR TORRES
9|21|PAN_PRI|JOSE LUIS BARAJAS MEDINA|RAUL TINTOR TORRES
9|21|PAN_PRD|JOSE LUIS BARAJAS MEDINA|RAUL TINTOR TORRES
9|21|PRI_PRD|JOSE LUIS BARAJAS MEDINA|RAUL TINTOR TORRES
9|22|PAN|ANA MARIA REYES CISNEROS|YAZMIN MARTINEZ PRADO
9|22|PRI|ANA MARIA REYES CISNEROS|YAZMIN MARTINEZ PRADO
9|22|PRD|ANA MARIA REYES CISNEROS|YAZMIN MARTINEZ PRADO
9|22|PVEM|MARIA VERONICA MENDOZA CRUZ|MARIA ESTHER SOTERO VICTORIA
9|22|PT|ROSALINDA GUTIERREZ ROMAN|SILVIA RUIZ MORALES
9|22|MOVIMIENTO CIUDADANO|THALIA SHAYLENE ROJANO GARCIA|CARMEN ERENDIRA LUCAS FRANCO
9|22|MORENA|VICTOR GABRIEL VARELA LOPEZ|JOSE EDUARDO BERNARDINO OSORIO
9|22|PES|GUSTAVO ESTRADA HERNANDEZ|FERNANDO BARAJAS HURTADO
9|22|RSP|DOMITILA REYES BARRIENTOS|VERONICA MARCELA GRANADOS BASURTO
9|22|FS X MÉXICO|GUADALUPE MONCERRAT HERNANDEZ SOTELO|LILIA GOMEZ LOPEZ
9|22|PAN_PRI_PRD|ANA MARIA REYES CISNEROS|YAZMIN MARTINEZ PRADO
9|22|PAN_PRI|ANA MARIA REYES CISNEROS|YAZMIN MARTINEZ PRADO
9|22|PAN_PRD|ANA MARIA REYES CISNEROS|YAZMIN MARTINEZ PRADO
9|22|PRI_PRD|ANA MARIA REYES CISNEROS|YAZMIN MARTINEZ PRADO
9|23|PAN|GABRIEL RICARDO QUADRI DE LA TORRE|JAIME SABA TUACHI
9|23|PRI|GABRIEL RICARDO QUADRI DE LA TORRE|JAIME SABA TUACHI
9|23|PRD|GABRIEL RICARDO QUADRI DE LA TORRE|JAIME SABA TUACHI
9|23|PVEM|PABLO GOMEZ ALVAREZ|SANDINO LUNA ALMEIDA
9|23|PT|PABLO GOMEZ ALVAREZ|SANDINO LUNA ALMEIDA
9|23|MOVIMIENTO CIUDADANO|SOFIA CASTRO GUERRERO|SOFIA AGUILAR FLASCHKA
9|23|MORENA|PABLO GOMEZ ALVAREZ|SANDINO LUNA ALMEIDA
9|23|PES|GISELLE HERNANDEZ GARCIA|MONICA ALPIZAR GONZALEZ
9|23|RSP|ALEJANDRO OROZCO HERNANDEZ|FRANCISCO JAVIER MARTINEZ MIRANDA
9|23|FS X MÉXICO|ROSALIA CONSUELO BUAUN SANCHEZ|MARIA EUGENIA DE LA PAZ GUZMAN DE ALBA
9|23|PAN_PRI_PRD|GABRIEL RICARDO QUADRI DE LA TORRE|JAIME SABA TUACHI
9|23|PAN_PRI|GABRIEL RICARDO QUADRI DE LA TORRE|JAIME SABA TUACHI
9|23|PAN_PRD|GABRIEL RICARDO QUADRI DE LA TORRE|JAIME SABA TUACHI
9|23|PRI_PRD|GABRIEL RICARDO QUADRI DE LA TORRE|JAIME SABA TUACHI
9|23|PVEM_PT_MORENA|PABLO GOMEZ ALVAREZ|SANDINO LUNA ALMEIDA
9|23|PVEM_PT|PABLO GOMEZ ALVAREZ|SANDINO LUNA ALMEIDA
9|23|PVEM_MORENA|PABLO GOMEZ ALVAREZ|SANDINO LUNA ALMEIDA
9|23|PT_MORENA|PABLO GOMEZ ALVAREZ|SANDINO LUNA ALMEIDA
9|24|PAN|HECTOR SAUL TELLEZ HERNANDEZ|ROBERTO GUTIERREZ DE LA CRUZ
9|24|PRI|HECTOR SAUL TELLEZ HERNANDEZ|ROBERTO GUTIERREZ DE LA CRUZ
9|24|PRD|HECTOR SAUL TELLEZ HERNANDEZ|ROBERTO GUTIERREZ DE LA CRUZ
9|24|PVEM|MARIA ANGELICA DIAZ DEL CAMPO|SILVIA LUZ GONZALEZ LOPEZ
9|24|PT|LAURA SUSANA ORDOÑEZ CONTRERAS|MARIA CRISTINA NATERAS TREJO
9|24|MOVIMIENTO CIUDADANO|ALBERTO MANUEL ATHIE GALLO|NINFA MARIBEL DAVILA PEREZ
9|24|MORENA|GUADALUPE RAMOS SOTELO|ERIKA LIZETH ROSALES MEDINA
9|24|PES|ANTONIO ABIMAHEL BARRON PELCASTRE|JOSE OSCAR SERRANO SILVA
9|24|RSP|JESUS ADRIAN LOPEZ ZAMORA|BUENAVENTURA SALCEDO SORIANO
9|24|FS X MÉXICO|LAURA DIRIDIA DOMINGUEZ SANTILLAN|MARIANA CORTES VILLANUEVA
9|24|PAN_PRI_PRD|HECTOR SAUL TELLEZ HERNANDEZ|ROBERTO GUTIERREZ DE LA CRUZ
9|24|PAN_PRI|HECTOR SAUL TELLEZ HERNANDEZ|ROBERTO GUTIERREZ DE LA CRUZ
9|24|PAN_PRD|HECTOR SAUL TELLEZ HERNANDEZ|ROBERTO GUTIERREZ DE LA CRUZ
9|24|PRI_PRD|HECTOR SAUL TELLEZ HERNANDEZ|ROBERTO GUTIERREZ DE LA CRUZ
10|1|PAN|FRANCISCO JAVIER CASTRELLON GARZA|ROSA ISELA DE LA ROCHA NEVAREZ
10|1|PRI|FRANCISCO JAVIER CASTRELLON GARZA|ROSA ISELA DE LA ROCHA NEVAREZ
10|1|PRD|FRANCISCO JAVIER CASTRELLON GARZA|ROSA ISELA DE LA ROCHA NEVAREZ
10|1|PVEM|MARTHA OLIVIA GARCIA VIDAÑA|GRISELDA MORALES SAMANIEGO
10|1|PT|MARTHA OLIVIA GARCIA VIDAÑA|GRISELDA MORALES SAMANIEGO
10|1|MOVIMIENTO CIUDADANO|MARIO ALBERTO REZA CASTAÑEDA|HORTENCIA CASTRO SILVA
10|1|MORENA|MARTHA OLIVIA GARCIA VIDAÑA|GRISELDA MORALES SAMANIEGO
10|1|PES|MARCELA MARIA GAMERO DE LA HOYA|ROSALINDA RODRIGUEZ LEYVA
10|1|RSP|YARA LIZETTE FLORES AVILA|LUCILA PARRA POSADA
10|1|FS X MÉXICO|VLADIMIR JUVENTINO MARTINEZ TORRES|NANCY YAZMIN NEVAREZ PIEDRA
10|1|PAN_PRI_PRD|FRANCISCO JAVIER CASTRELLON GARZA|ROSA ISELA DE LA ROCHA NEVAREZ
10|1|PAN_PRI|FRANCISCO JAVIER CASTRELLON GARZA|ROSA ISELA DE LA ROCHA NEVAREZ
10|1|PAN_PRD|FRANCISCO JAVIER CASTRELLON GARZA|ROSA ISELA DE LA ROCHA NEVAREZ
10|1|PRI_PRD|FRANCISCO JAVIER CASTRELLON GARZA|ROSA ISELA DE LA ROCHA NEVAREZ
10|1|PVEM_PT_MORENA|MARTHA OLIVIA GARCIA VIDAÑA|GRISELDA MORALES SAMANIEGO
10|1|PVEM_PT|MARTHA OLIVIA GARCIA VIDAÑA|GRISELDA MORALES SAMANIEGO
10|1|PVEM_MORENA|MARTHA OLIVIA GARCIA VIDAÑA|GRISELDA MORALES SAMANIEGO
10|1|PT_MORENA|MARTHA OLIVIA GARCIA VIDAÑA|GRISELDA MORALES SAMANIEGO
10|2|PAN|MARIA DEL ROCIO REBOLLO MENDOZA|MARIA DEL SOCORRO GARCIA ARMENDARIZ
10|2|PRI|MARIA DEL ROCIO REBOLLO MENDOZA|MARIA DEL SOCORRO GARCIA ARMENDARIZ
10|2|PRD|MARIA DEL ROCIO REBOLLO MENDOZA|MARIA DEL SOCORRO GARCIA ARMENDARIZ
10|2|PVEM|OMAR ENRIQUE CASTAÑEDA GONZALEZ|RENE GALINDO BUSTAMANTE
10|2|PT|OMAR ENRIQUE CASTAÑEDA GONZALEZ|RENE GALINDO BUSTAMANTE
10|2|MOVIMIENTO CIUDADANO|LILIANA ISABEL ESTRELLA RIVERA|PERLA VANESSA VARGAS LOZANO
10|2|MORENA|OMAR ENRIQUE CASTAÑEDA GONZALEZ|RENE GALINDO BUSTAMANTE
10|2|PES|ERIK FERNANDO ARZOLA SARABIA|JESUS FERNANDO MARTINEZ GALINDO
10|2|RSP|CHRISTIAN JAQUELINE GALVAN MARTINEZ|KAREN PAMELA ADAME FLORES
10|2|FS X MÉXICO|LETICIA GAMBOA GARCIA|FLOR ENEVY MORENO VALDES
10|2|PAN_PRI_PRD|MARIA DEL ROCIO REBOLLO MENDOZA|MARIA DEL SOCORRO GARCIA ARMENDARIZ
10|2|PAN_PRI|MARIA DEL ROCIO REBOLLO MENDOZA|MARIA DEL SOCORRO GARCIA ARMENDARIZ
10|2|PAN_PRD|MARIA DEL ROCIO REBOLLO MENDOZA|MARIA DEL SOCORRO GARCIA ARMENDARIZ
10|2|PRI_PRD|MARIA DEL ROCIO REBOLLO MENDOZA|MARIA DEL SOCORRO GARCIA ARMENDARIZ
10|2|PVEM_PT_MORENA|OMAR ENRIQUE CASTAÑEDA GONZALEZ|RENE GALINDO BUSTAMANTE
10|2|PVEM_PT|OMAR ENRIQUE CASTAÑEDA GONZALEZ|RENE GALINDO BUSTAMANTE
10|2|PVEM_MORENA|OMAR ENRIQUE CASTAÑEDA GONZALEZ|RENE GALINDO BUSTAMANTE
10|2|PT_MORENA|OMAR ENRIQUE CASTAÑEDA GONZALEZ|RENE GALINDO BUSTAMANTE
10|3|PAN|MARIA DE LOURDES MARTINEZ ESPINOSA|MARIA DEL REFUGIO ADAME GUERECA
10|3|PRI|MARIA DE LOURDES MARTINEZ ESPINOSA|MARIA DEL REFUGIO ADAME GUERECA
10|3|PRD|MARIA DE LOURDES MARTINEZ ESPINOSA|MARIA DEL REFUGIO ADAME GUERECA
10|3|PVEM|MARIBEL AGUILERA CHAIREZ|MARTHA ALICIA ARREOLA MARTINEZ
10|3|PT|MARIBEL AGUILERA CHAIREZ|MARTHA ALICIA ARREOLA MARTINEZ
10|3|MOVIMIENTO CIUDADANO|ROBERTO CARMONA JAUREGUI|MARGARITA ROCIO AYALA RIVERA
10|3|MORENA|MARIBEL AGUILERA CHAIREZ|MARTHA ALICIA ARREOLA MARTINEZ
10|3|PES|CLARA MAYRA ZEPEDA GARCIA|ZURISADAY HERNANDEZ ALCANTAR
10|3|RSP|FERNANDO ULISES ADAME DE LEON|GERARDO ALBERTO MORALES ALVAREZ
10|3|FS X MÉXICO|MARGARITA DIAZ OLIVAS|ELIA ESTRADA MACIAS
10|3|PAN_PRI_PRD|MARIA DE LOURDES MARTINEZ ESPINOSA|MARIA DEL REFUGIO ADAME GUERECA
10|3|PAN_PRI|MARIA DE LOURDES MARTINEZ ESPINOSA|MARIA DEL REFUGIO ADAME GUERECA
10|3|PAN_PRD|MARIA DE LOURDES MARTINEZ ESPINOSA|MARIA DEL REFUGIO ADAME GUERECA
10|3|PRI_PRD|MARIA DE LOURDES MARTINEZ ESPINOSA|MARIA DEL REFUGIO ADAME GUERECA
10|3|PVEM_PT_MORENA|MARIBEL AGUILERA CHAIREZ|MARTHA ALICIA ARREOLA MARTINEZ
10|3|PVEM_PT|MARIBEL AGUILERA CHAIREZ|MARTHA ALICIA ARREOLA MARTINEZ
10|3|PVEM_MORENA|MARIBEL AGUILERA CHAIREZ|MARTHA ALICIA ARREOLA MARTINEZ
10|3|PT_MORENA|MARIBEL AGUILERA CHAIREZ|MARTHA ALICIA ARREOLA MARTINEZ
10|4|PAN|GINA GERARDINA CAMPUZANO GONZALEZ|MARIA ELENA GONZALEZ RIVERA
10|4|PRI|GINA GERARDINA CAMPUZANO GONZALEZ|MARIA ELENA GONZALEZ RIVERA
10|4|PRD|GINA GERARDINA CAMPUZANO GONZALEZ|MARIA ELENA GONZALEZ RIVERA
10|4|PVEM|RIGOBERTO QUIÑONEZ SAMANIEGO|JOSE EMILIO MARTELL NEVAREZ
10|4|PT|RIGOBERTO QUIÑONEZ SAMANIEGO|JOSE EMILIO MARTELL NEVAREZ
10|4|MOVIMIENTO CIUDADANO|MARTIN VIVANCO LIRA|MARIANA ISABEL VERDUGA PALENCIA
10|4|MORENA|RIGOBERTO QUIÑONEZ SAMANIEGO|JOSE EMILIO MARTELL NEVAREZ
10|4|PES|ANTONIO DE LA TORRE CARLOS|TEOFILO CHAIREZ RAMIREZ
10|4|RSP|HUMBERTO RAUL ROSALES BADILLO|ANTONIO QUIROZ ORONA
10|4|FS X MÉXICO|ALICIA GARCIA VALENZUELA|MARIA ROSALINA SALAZAR ELIZALDE
10|4|PAN_PRI_PRD|GINA GERARDINA CAMPUZANO GONZALEZ|MARIA ELENA GONZALEZ RIVERA
10|4|PAN_PRI|GINA GERARDINA CAMPUZANO GONZALEZ|MARIA ELENA GONZALEZ RIVERA
10|4|PAN_PRD|GINA GERARDINA CAMPUZANO GONZALEZ|MARIA ELENA GONZALEZ RIVERA
10|4|PRI_PRD|GINA GERARDINA CAMPUZANO GONZALEZ|MARIA ELENA GONZALEZ RIVERA
10|4|PVEM_PT_MORENA|RIGOBERTO QUIÑONEZ SAMANIEGO|JOSE EMILIO MARTELL NEVAREZ
10|4|PVEM_PT|RIGOBERTO QUIÑONEZ SAMANIEGO|JOSE EMILIO MARTELL NEVAREZ
10|4|PVEM_MORENA|RIGOBERTO QUIÑONEZ SAMANIEGO|JOSE EMILIO MARTELL NEVAREZ
10|4|PT_MORENA|RIGOBERTO QUIÑONEZ SAMANIEGO|JOSE EMILIO MARTELL NEVAREZ
11|1|PAN|BERENICE MONTES ESTRADA|LETICIA GARCIA MARMOLEJO
11|1|PRI|MONSERRAT BANDA ARTEAGA|MA DE LOS ANGELES FERRO CAMPOS
11|1|PRD|ANA MARIA VALLE PEREZ|ORELIA FLORES VAZQUEZ
11|1|PVEM|JOSE BRAULIO FLORES CAMARILLO|JUAN JOSE TORRES LEDESMA
11|1|PT|VICTOR MANUEL ALVAREZ DUCOING|ARMANDO VALENCIA VARGAS
11|1|MOVIMIENTO CIUDADANO|MARTIN TADEO RODRIGUEZ FLORES|OSWALDO TADEO QUINTANA ROJAS
11|1|MORENA|MA DEL CARMEN VILLEGAS HERNANDEZ|YARET SARAI RANGEL GARCIA
11|1|PES|CAROLINA HUERTA AGUILAR|JAZMIN ARIDAI AMADOR CHAVERO
11|1|RSP|ADRIANA GUADALUPE GONZALEZ GARCIA|ALBA ROCIO GALVAN DE ANDA
11|1|FS X MÉXICO|OLGA ELVA BECERRA DUCOING|MA DEL ROSARIO BECERRA RODRIGUEZ
11|2|PAN|RICARDO VILLARREAL GARCIA|RAMON ZAVALA ORTIZ
11|2|PRI|BEATRIZ MEZA ESCUTIA|FLORENCIA VARGAS BENITEZ
11|2|PRD|VALERIA LIZBETH PADRON JUAREZ|LIZZETTE JANET HERNANDEZ VILLEGAS
11|2|PVEM|MIRNA LUNA RODRIGUEZ|ROSA MARIA RANGEL MANCERA
11|2|PT|FERNANDO GARCIA CHAVEZ|AMBROCIO DUQUE PINEDA
11|2|MOVIMIENTO CIUDADANO|NATASHA PAMELA GRANJA MONJARAZ|VALERIA RAMIREZ COSSIO
11|2|MORENA|GENARO MARTIN ZUÑIGA SOTO|JONATHAN STEFANONNI ROSALES
11|2|PES|JUAN GONZALO CARRANZA ARREGUIN|LEONARDO ISRAEL GOMEZ OLALDE
11|2|RSP|RUBEN SILVA LOPEZ|CARLOS BRAVO LEON
11|2|FS X MÉXICO|NELLY LOPEZ GARCIA|CITLALLI ABIGAIL GUTIERREZ CARDONA
11|3|PAN|FERNANDO TORRES GRACIANO|ERANDI ALEJANDRO ACEVES SANCHEZ
11|3|PRI|YOLANDA ELIZETH GALVAN HERNANDEZ|KARINA SARAI DE LA CRUZ DIAZ
11|3|PRD|GRACIELA ORTA SERRANO|MARTHA LETICIA GONZALEZ JUAREZ
11|3|PVEM|ALEJANDRO ARTURO CALVILLO APOLINAR|ALICIA CASTILLO RODRIGUEZ
11|3|PT|EDNA VIRGINIA GOMEZ MARTINEZ|JESSICA YOLANDA TIRADO ROCHA
11|3|MOVIMIENTO CIUDADANO|MA ISABEL LLAMAS ANDRADE|EUGENIA CRYSTAL PILOTZI MEDINA
11|3|MORENA|EDGAR OMAR CHICO MERCADO|ERICK DANIEL RODAS MORENO
11|3|PES|MARINO MARTINEZ GOMEZ|AGUSTIN HURTADO LIRA
11|3|RSP|MARIA FERNANDA VAZQUEZ GOMEZ|ARANZA GERALDINE AGUIRRE HERNANDEZ
11|3|FS X MÉXICO|MA TERESA GONZALEZ DEL CASTILLO OROZCO|MARTHA LETICIA GOMEZ BAEZ
11|4|PAN|JUAN CARLOS ROMERO HICKS|DANIEL ANTONIO ORDAZ MARTINEZ
11|4|PRI|MARIA ESTEFANIA GARCIA DOBARGANES RAMIREZ|JUANA ELVA RAMIREZ GONZALEZ
11|4|PRD|IGOR OLAF SURA WYSOCKI|PERLA LETICIA OLMOS ROSALES
11|4|PVEM|GRICEL RODRIGUEZ ROBLEDO|BLANCA EDNA CABRERA BARRON
11|4|PT|ANGELICA MARTINEZ SALINAS|MA DE JESUS OROCIO QUINTERO
11|4|MOVIMIENTO CIUDADANO|JUAN OMAR PALAFOX LOPEZ|JUAN DIEGO MONTES BARRON
11|4|MORENA|RUTH ESPERANZA LUGO MARTINEZ|ALMA ROXANA MORENO ARAIZA
11|4|PES|JOSE MENDEZ ORTEGA|JOSE LUIS ARELLANO GONZALEZ
11|4|RSP|MARIBEL URIBE BUENDIA|LIDIA ITZAYANA FLORES CANO
11|4|FS X MÉXICO|LAURA MARGARITA CARBAJAL DUARTE|MA CONCEPCION LOPEZ HERRERA
11|5|PAN|ECTOR JAIME RAMIREZ BARBA|ANTONIO EDUARDO ROCHA BRAVO
11|5|PRI|LUIS GERARDO GUTIERREZ CHICO|AURELIA GUTIERREZ RIOS
11|5|PRD|MIGUEL AGUSTIN CORTES GONZALEZ|RICARDO HERNANDEZ MORA
11|5|PVEM|ANA CECILIA GRACIELA SIMON BUSTAMANTE|BEATRIZ ARELLANO ALVAREZ
11|5|PT|XOCHITL PATRICIA ORTEGA ANGULO|ALMA JAZMIN GARCIA GARCIA
11|5|MOVIMIENTO CIUDADANO|JUAN ANGEL JAIME CORDOVA|ERNESTO GOMEZ OBREGON
11|5|MORENA|JUANA ANGELICA SANROMAN VAZQUEZ|MARIBEL CORDOVA GUERRERO
11|5|PES|JUAN DAVID FRAUSTO CHAVEZ|LUIS ALBERTO ESPINOZA HERNANDEZ
11|5|RSP|LUIS MANUEL MUÑOZ COPADO|ROGELIO LANDIN VERA
11|5|FS X MÉXICO|MARIA EUGENIA SAAVEDRA RODRIGUEZ|PATRICIA GONZALEZ SEGOVIA
11|6|PAN|ANA MARIA ESQUIVEL ARRONA|ALMA CRISTINA RODRIGUEZ VALLEJO
11|6|PRI|JOSE DE JESUS VAZQUEZ TRUJILLO|DIANA MAGDALENA CAMARILLO GUZMAN
11|6|PRD|JOSEFINA NICASIO MEZA|MAGDALENA SANCHEZ REYNA
11|6|PVEM|KARLA DE LA PUENTE ESCUDERO|FATIMA BERNAL TORRES
11|6|PT|BASILIO MAGAÑA GARCIA|EDGAR OCTAVIO CASILLAS GUTIERREZ
11|6|MOVIMIENTO CIUDADANO|GABRIELA LETICIA CAAMAÑO MUÑOZ|MADAI BERENICE DE LA ENCARNACION VAZQUEZ OÑATE
11|6|MORENA|JANETTE GARCIA SANDOVAL|BERENICE HERNANDEZ SANTOS
11|6|PES|NAVIDAD GUTIERREZ CONTRERAS|JUDITH IVONNE GARCIA SERRANO
11|6|RSP|TERESITA LAGUNA FARFAN|ANGELICA ANAYA HERNANDEZ
11|6|FS X MÉXICO|ANA ELIZABETH CARRILLO BALDERAS|GISELA ELIANA VALDIVIA PEREZ
11|7|PAN|KAREN MICHEL GONZALEZ MARQUEZ|GABRIELA GARCIA GONZALEZ
11|7|PRI|MA GUADALUPE GUERRERO MORENO|MARIA ELENA GARCIA MADRIGAL
11|7|PRD|ANA MARIA HERNANDEZ AYALA|GLORIA REYES VERDIN
11|7|PVEM|FABRICIO ANTONIO ALEMAN VALADEZ|OMAR EDGARDO RUIZ ALCOCER
11|7|PT|GLORIA RODRIGUEZ RUVALCABA|YANETH SOLEDAD HERNANDEZ CORTES
11|7|MOVIMIENTO CIUDADANO|SHAKIRA MADRIGAL GOMEZ CRUZ|MARIA ARACELI GOMEZ CRUZ
11|7|MORENA|ZORAIDA CARDONA JIMENEZ|LORENA GAMEZ ARROYO
11|7|PES|MARIA LIZBETH GUERRERO RODRIGUEZ|MERCY MURILLO DOMINGUEZ
11|7|RSP|SANDRA JAZMIN SANCHEZ TRUJILLO|LILIA GUADALUPE SANCHEZ TRUJILLO
11|7|FS X MÉXICO|LIDIA HURTADO LOZANO|LORENA LARA FERNANDEZ
11|8|PAN|JUSTINO EUGENIO ARRIAGA ROJAS|HERMINIO TORRES AJURIA
11|8|PRI|JUSTINO EUGENIO ARRIAGA ROJAS|HERMINIO TORRES AJURIA
11|8|PRD|JUSTINO EUGENIO ARRIAGA ROJAS|HERMINIO TORRES AJURIA
11|8|PVEM|ISRAEL MARMOLEJO ARELLANO|JUAN CARLOS HERNANDEZ TOVAR
11|8|PT|FRANCISCO MARTIN FLORES SANCHEZ|AARON ADRIAN NAVARRO
11|8|MOVIMIENTO CIUDADANO|ELDA CASTILLO VARELA|MA MARTINA MONTENEGRO FLORES
11|8|MORENA|ALBERTO REYNA BRAVO|ALBERTO DE LA TORRE GLEASON
11|8|PES|SIN CANDIDATURA|MONICA DEL CARMEN TORRES SANCHEZ
11|8|RSP|SAUL ARAN ARELLANO|OSCAR CASTRO ROA
11|8|FS X MÉXICO|SANDRA SORAIDA DE LOS REYES FERNANDEZ|MARIA GUADALUPE MENDEZ PEREZ
11|8|PAN_PRI_PRD|JUSTINO EUGENIO ARRIAGA ROJAS|HERMINIO TORRES AJURIA
11|8|PAN_PRI|JUSTINO EUGENIO ARRIAGA ROJAS|HERMINIO TORRES AJURIA
11|8|PAN_PRD|JUSTINO EUGENIO ARRIAGA ROJAS|HERMINIO TORRES AJURIA
11|8|PRI_PRD|JUSTINO EUGENIO ARRIAGA ROJAS|HERMINIO TORRES AJURIA
11|9|PAN|JORGE ALBERTO ROMERO VAZQUEZ|JOSE SALVADOR TOVAR VARGAS
11|9|PRI|NORMA CONCEPCION PARRA ROCHA|ANA MA GUTIERREZ PEREZ
11|9|PRD|MOISES CASTRO AYALA|FERNANDO CAMARILLO CERVANTES
11|9|PVEM|J JESUS BOLAÑOS AUDIFRED|ISRAEL HERNANDEZ ARRIAGA
11|9|PT|ADRIANA LORETO CHAGOYA ORTEGA|ESMERALDA CAROLINA SALINAS CHAGOYA
11|9|MOVIMIENTO CIUDADANO|CARLOS IVAN PONCE MONTAÑO|CARLOS RAFAEL GARCIA GALLARDO
11|9|MORENA|DIANA DEL ROSARIO PACO ARGUELLO|FABIOLA MONTSERRAT RANGEL MARTINEZ
11|9|PES|MARTHA LUCIA OLMOS BARRERA|MIRIAM MONSERRAT AGUIRRE LAZARO
11|9|RSP|MAURICIO HERNANDEZ BUSTAMANTE|PEDRO EDGAR FLORES MARTINEZ
11|9|FS X MÉXICO|BARBARA GUTIERREZ MARMOLEJO|VERONICA BELMAN MURILLO
11|10|PAN|KARLA ALEJANDRINA LANUZA HERNANDEZ|ANA LAURA VILLAGOMEZ GUDIÑO
11|10|PRI|J HERLINDO VELAZQUEZ FERNANDEZ|EDGAR JOSE ZAVALA OROZCO
