75
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|PAN_PRI|CNR|NULOS|TOTAL|LBS|JMFP|JMR|MIDLF|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
27|1|3|B|1|0|U|565|1|21|255|E2701|3|35|43|53|13|3|60|11|25|11|9|1|7|4|1|276|85|53|73|60|2024|4|25|15|33|57|4|N
27|1|5|C|1|0|M|587|1|21|255|E2701|4|28|49|62|13|5|70|8|13|6|8|1|12|3|0|278|89|62|54|70|2024|4|25|15|46|54|4|N
27|1|42|E|1|0|R|372|1|21|255|E2701|21|25|33|32|8|1|54|8|7|9|6|3|5|1|0|192|63|32|42|54|2024|4|25|15|15|57|4|N
27|1|675|B|1|0|U|406|7|14|255|E2701|28|20|35|43|6|1|50|6|10|13|6|1|4|3|0|198|59|43|43|50|2024|4|25|15|39|53|4|N
27|1|683|C|1|0|R|561|7|14|255|E2701|33|37|48|57|12|5|62|13|18|15|9|3|12|1|0|292|97|57|75|62|2024|4|25|15|47|30|4|N
27|1|855|B|1|0|R|350|11|14|255|E2701|39|16|27|36|4|3|44|8|15|7|5|1|6|2|0|174|49|36|43|44|2024|4|25|15|26|35|4|N
27|1|861|C|1|0|R|696|11|14|255|E2701|42|44|53|77|10|7|80|14|15|13|7|0|11|2|0|333|108|77|66|80|2024|4|25|15|45|37|1|N
27|1|868|C|1|0|R|578|11|14|255|E2701|46|29|43|60|14|2|58|7|19|11|8|0|12|1|0|264|84|60|61|58|2024|4|25|15|40|54|1|N
27|1|881|B|1|0|U|563|12|16|255|E2701|53|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|15|58|47|1|N
27|1|906|B|1|0|R|429|12|14|255|E2701|67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|8|37|1|N
27|1|933|C|1|0|M|439|12|16|255|E2701|82|27|44|42|8|5|57|13|4|8|8|3|8|1|0|228|79|42|49|57|2024|4|25|15|41|5|4|N
27|2|48|B|1|0|U|599|2|3|256|E2702|3|47|23|86|7|9|59|13|17|17|11|0|6|5|0|300|76|86|74|59|2024|4|25|14|12|50|1|N
27|2|49|B|1|0|U|521|2|3|256|E2702|3|49|20|77|7|7|36|18|11|14|17|0|5|0|0|261|74|77|74|36|2024|4|25|14|18|1|1|N
27|2|50|C|2|0|U|528|2|3|256|E2702|5|41|32|70|6|5|36|25|9|22|10|0|2|6|0|264|75|70|77|36|2024|4|25|14|8|3|4|N
27|2|92|C|1|0|U|522|2|2|256|E2702|64|46|24|69|6|4|41|13|15|10|10|0|2|1|0|241|72|69|58|41|2024|4|25|15|20|36|4|N
27|2|107|C|1|0|R|664|2|2|256|E2702|68|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|8|15|1|N
27|2|121|C|1|0|U|518|2|3|256|E2702|40|39|33|71|8|5|39|20|7|10|13|0|7|5|0|257|79|71|63|39|2024|4|25|15|41|52|1|N
