ID_ESTADO,CANDIDATO,PARTIDO
6,MRC,PAN
6,MRC,PRI
6,MRC,PRD
6,MRC,PAN_PRI_PRD
6,MRC,PAN_PRI
6,MRC,PAN_PRD
6,MRC,PRI_PRD
6,VMA,PVEM
6,AICA,PT
6,LAMS,MC
6,IVS,MORENA_PANAL
6,PD,PES
6,EBR,RSP
6,CVYCC,FPM
6,OTROS,CNR
6,OTROS,NULOS
8,MECG,PAN
8,MECG,PRD
8,MECG,PAN_PRD
8,GOG,PRI
8,BFRP,PVEM
8,JCLR,PT
8,JCLR,MORENA
8,JCLR,PANAL
8,JCLR,PT_MORENA_PANAL
8,JCLR,PT_MORENA
8,JCLR,PT_PANAL
8,JCLR,MORENA_PANAL
8,JALS,MC
8,LCAL,PES
8,MEBG,RSP
8,ADV,FPM
8,OTROS,CNR
8,OTROS,NULOS
16,PD,PT
16,PD,MORENA
16,PD,PT_MORENA
16,CHT,PAN
16,CHT,PRI
16,CHT,PRD
16,CHT,PAN_PRI_PRD
16,CHT,PAN_PRI
16,CHT,PAN_PRD
16,CHT,PRI_PRD
16,JAMM,PVEM
16,MCG,MC
16,HMC,PES
16,PD2,RSP
16,CAS,FPM
16,OTROS,CNR
16,OTROS,NULOS
18,GENS,PAN
18,GENS,PRI
18,GENS,PRD
18,GENS,PAN_PRI_PRD
18,GENS,PAN_PRI
18,GENS,PAN_PRD
18,GENS,PRI_PRD
18,MANQ,PT
18,MANQ,PVEM
18,MANQ,MORENA
18,MANQ,PANAL
18,MANQ,PT_PVEM_MORENA_PANAL
18,MANQ,PT_PVEM_MORENA
18,MANQ,PVEM_MORENA_PANAL
18,MANQ,PT_PVEM_PANAL
18,MANQ,PT_MORENA_PANAL
18,MANQ,PT_PVEM
18,MANQ,PVEM_MORENA
18,MANQ,PVEM_PANAL
18,MANQ,PT_MORENA
18,MANQ,PT_PANAL
18,MANQ,MORENA_PANAL
18,IFM,MC
18,VMCV,VIVA
18,AGJ,LN
18,NRI,PES
18,NMC,RSP
18,BGTL,FPM
18,OTROS,CNR
18,OTROS,NULOS
32,CEAM,PAN
32,CEAM,PRI
32,CEAM,PRD
32,CEAM,PAN_PRI_PRD
32,CEAM,PAN_PRI
32,CEAM,PAN_PRD
32,CEAM,PRI_PRD
32,DMA,PT
32,DMA,PVEM
32,DMA,MORENA
32,DMA,PANAL
32,DMA,PT_PVEM_MORENA_PANAL
32,DMA,PT_PVEM_MORENA
32,DMA,PT_PVEM_PANAL
32,DMA,PT_MORENA_PANAL
32,DMA,PVEM_MORENA_PANAL
32,DMA,PT_PVEM
32,DMA,PT_MORENA
32,DMA,PT_PANAL
32,DMA,PVEM_MORENA
32,DMA,PVEM_PANAL
32,DMA,MORENA_PANAL
32,AMRF,MC
32,FCM,PAZ
32,C_MD,MD
32,JVB,PP
32,MGMP,PES
32,FSPT,RSP
32,MGZ,FPM
32,OTROS,CNR
32,OTROS,NULOS
