ID_ESTADO,CANDIDATO,PARTIDO
5,MJS ,PAN
5,MJS ,PRI
5,MJS ,PRD
5,ELPR,PVEM
5,RMB,PT
5,ELPR,UDC
5,AGT,MORENA
5,MJS ,PAN_PRI_PRD
5,MJS ,PAN_PRI
5,MJS ,PAN_PRD
5,MJS ,PRI_PRD
5,ELPR,PVEM_UDC
5,OTROS,CNR
5,OTROS,NULOS
15,ADMV,PAN
15,ADMV,PRI
15,ADMV,PRD
15,DGA,MORENA_PT_PVEM
15,ADMV,NAEM
15,ADMV,PAN_PRI_PRD_NAEM
15,ADMV,PAN_PRI_PRD
15,ADMV,PAN_PRI_NAEM
15,ADMV,PAN_PRD_NAEM
15,ADMV,PRI_PRD_NAEM
15,ADMV,PAN_PRI
15,ADMV,PAN_PRD
15,ADMV,PAN_NAEM
15,ADMV,PRI_PRD
15,ADMV,PRI_NAEM
15,ADMV,PRD_NAEM
15,OTROS,CNR
15,OTROS,NULOS
