27
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PT|PVEM|MC|MORENA|NAM|PES|MAS|PROGRESA|RSP|PAN_PRI_PRD_RSP_M|PAN_PRI_PRD_RSP_N|PAN_PRI_PRD_RSP_O|PAN_PRI_PRD_RSP_P|PAN_PRI_PRD_RSP_Q|PAN_PRI_PRD_RSP_R|PAN_PRI_PRD_RSP_S|PAN_PRI_PRD_RSP_T|PAN_PRI_PRD_RSP_U|PAN_PRI_PRD_RSP_V|PAN_PRI_PRD_RSP_W|PT_PVEM_MORENA_NAM_MAS_PES_X|PT_PVEM_MORENA_NAM_MAS_PES_Y|PT_PVEM_MORENA_NAM_MAS_PES_Z|PT_PVEM_MORENA_NAM_MAS_PES_AA|PT_PVEM_MORENA_NAM_MAS_PES_AB|PT_PVEM_MORENA_NAM_MAS_PES_AC|PT_PVEM_MORENA_NAM_MAS_PES_AD|PT_PVEM_MORENA_NAM_MAS_PES_AE|PT_PVEM_MORENA_NAM_MAS_PES_AF|PT_PVEM_MORENA_NAM_MAS_PES_AG|PT_PVEM_MORENA_NAM_MAS_PES_AH|PT_PVEM_MORENA_NAM_MAS_PES_AI|PT_PVEM_MORENA_NAM_MAS_PES_AJ|PT_PVEM_MORENA_NAM_MAS_PES_AK|PT_PVEM_MORENA_NAM_MAS_PES_AL|PT_PVEM_MORENA_NAM_MAS_PES_AM|PT_PVEM_MORENA_NAM_MAS_PES_AN|PT_PVEM_MORENA_NAM_MAS_PES_AO|PT_PVEM_MORENA_NAM_MAS_PES_AP|PT_PVEM_MORENA_NAM_MAS_PES_AQ|PT_PVEM_MORENA_NAM_MAS_PES_AR|PT_PVEM_MORENA_NAM_MAS_PES_AS|PT_PVEM_MORENA_NAM_MAS_PES_AT|PT_PVEM_MORENA_NAM_MAS_PES_AU|PT_PVEM_MORENA_NAM_MAS_PES_AV|MC_PROGRESA|CNR|NULOS|TOTAL|LVMG|MGSC|JMGOD|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
17|1|191|C|1|0|U|713|7|2|176|E1701|5|6|11|12|2|7|20|12|7|3|7|16|8|8|9|10|15|10|11|11|8|10|11|7|8|11|9|12|9|8|10|8|7|8|2|5|16|8|10|9|6|9|6|4|10|11|9|7|4|15|0|10|452|147|259|36|2024|4|25|15|18|22|4|N
17|1|212|B|1|0|U|502|7|1|176|E1701|26|9|11|10|6|6|20|5|3|6|5|16|7|9|5|10|11|10|12|14|8|11|13|9|2|3|1|5|7|7|2|5|6|8|5|5|6|2|4|5|6|4|6|2|8|6|9|3|7|4|0|10|354|149|159|36|2024|4|25|14|17|12|4|N
17|1|215|C|1|0|U|740|7|2|176|E1701|29|11|9|7|10|4|21|9|3|5|11|15|16|15|23|20|14|9|14|12|8|9|19|3|4|14|4|11|6|10|4|8|4|7|6|6|4|9|9|8|10|6|9|5|7|4|8|9|9|14|4|5|471|189|237|36|2024|4|25|15|2|22|4|N
17|1|230|C|2|0|U|585|7|2|176|E1701|42|6|8|17|7|7|8|5|6|8|9|4|13|13|8|9|12|14|7|11|8|9|11|6|5|10|6|7|4|8|6|6|7|6|5|6|6|5|8|7|2|6|6|8|5|10|4|10|10|7|0|2|378|152|212|12|2024|4|25|15|14|4|4|N
17|1|264|B|1|0|U|411|7|2|176|E1701|62|7|4|6|9|1|3|3|3|6|4|8|6|2|5|6|6|9|5|7|12|8|7|5|7|4|7|3|1|4|7|6|4|2|4|5|4|6|4|6|5|2|4|3|3|3|3|4|5|2|1|10|251|95|134|11|2024|4|25|15|13|41|4|N
17|1|356|B|1|0|U|543|7|1|176|E1701|106|12|9|7|2|7|3|4|5|4|7|10|16|11|7|14|8|10|11|11|13|9|10|8|5|8|5|11|3|3|4|6|4|5|6|5|8|2|8|7|5|10|6|6|5|3|6|3|8|10|1|11|362|156|181|13|2024|4|25|15|13|46|1|N
17|1|367|C|1|0|U|526|7|1|176|E1701|118|9|7|12|7|9|3|4|5|8|8|5|8|13|10|13|14|9|8|8|8|9|9|11|8|8|8|8|7|3|8|3|7|10|8|10|4|10|2|2|3|8|5|4|2|10|13|4|8|9|1|2|372|148|213|8|2024|4|25|15|19|25|4|N
17|2|636|C|1|0|U|624|18|5|177|E1702|27|6|8|13|5|4|11|3|9|5|3|12|11|6|15|11|6|7|13|6|11|10|5|11|10|7|14|5|5|7|7|5|2|8|4|8|7|7|7|5|9|4|3|8|3|5|6|7|7|15|8|5|379|139|204|23|2024|4|25|15|3|23|4|N
17|3|47|C|1|0|U|552|4|10|178|E1703|43|7|7|6|8|5|17|2|5|7|3|8|10|7|10|8|5|7|6|8|8|6|6|7|6|9|11|9|10|8|8|10|5|12|7|15|6|7|6|5|7|5|12|12|2|10|8|4|8|16|0|6|387|108|248|25|2024|4|25|14|16|23|4|N
17|3|48|C|2|0|U|606|4|10|178|E1703|47|14|10|10|13|12|11|8|8|7|9|11|9|6|5|8|14|7|10|6|12|4|9|10|6|7|6|9|5|3|10|9|10|6|9|8|7|8|8|5|8|9|6|11|5|8|9|4|17|10|4|3|423|134|260|22|2024|4|25|14|4|42|4|N
