209
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
9|2|1096|C|1|0|U|385|5|6|50|E0902|40|127|93|1|1|7|4|1|0|2|2|0|0|0|6|1|0|1|10|256|2024|4|25|14|4|48|4|N
10|3|689|B|1|0|U|746|12|13|73|E1003|56|12|114|0|137|37|29|0|22|0|6|0|0|12|0|5|0|9|117|500|2024|4|25|14|4|46|4|N
10|3|1065|C|2|0|U|549|25|9|73|E1003|145|7|83|0|21|6|3|46|0|0|1|0|0|2|0|2|0|0|54|225|2024|4|25|14|3|38|4|N
11|11|1613|C|1|0|U|709|20|6|85|E1111|96|2|154|6|0|1|22|180|0|0|0|0|1|7|44|1|0|3|19|440|2024|4|25|14|1|39|4|N
11|11|1644|C|4|0|U|723|20|4|85|E1111|39|20|204|2|1|0|16|128|0|0|0|0|0|7|16|0|0|0|2|396|2024|4|25|14|2|57|4|N
11|13|1931|C|4|0|U|680|23|18|87|E1113|48|20|36|0|24|95|23|61|5|44|0|0|0|6|30|0|0|0|19|363|2024|4|25|11|13|29|4|N
7|2|1209|C|5|0|U|651|82|8|28|E0702|69|30|1|0|3|52|29|75|2|28|0|2|0|0|36|1|0|0|15|274|2024|4|25|13|59|52|4|N
14|9|1328|C|1|0|U|700|41|9|113|E1409|112|0|139|71|13|7|2|67|2|0|4|0|1|30|57|1|0|0|54|448|2024|4|25|13|30|25|4|N
14|15|172|C|2|0|U|719|13|15|119|E1415|74|25|89|66|0|14|1|237|4|36|1|4|1|1|0|4|0|2|0|485|2024|4|25|13|40|47|4|N
14|15|1643|C|3|0|U|637|49|15|119|E1415|139|3|4|8|5|3|1|13|4|9|0|3|3|9|11|0|0|0|0|76|2024|4|25|14|0|48|4|N
