2030
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
8|8|415|B|1|0|U|415|19|18|47|E0808|161|27|129|7|12|0|17|23|14|0|0|0|0|18|12|2|0|1|4|266|2024|4|25|15|29|9|4|N
8|8|452|B|1|0|U|625|19|15|47|E0808|152|0|201|7|0|12|13|24|52|0|7|0|2|16|18|1|0|0|7|360|2024|4|25|15|49|22|4|N
8|8|511|B|1|0|U|561|19|17|47|E0808|174|95|95|0|7|0|17|74|23|6|0|0|4|7|27|2|0|1|8|366|2024|4|25|15|20|20|4|N
8|8|564|B|1|0|U|727|19|17|47|E0808|39|102|61|20|10|0|11|28|66|9|0|0|1|0|57|5|0|1|22|393|2024|4|25|15|14|20|4|N
8|8|593|C|1|0|U|666|19|16|47|E0808|89|41|204|0|7|0|11|9|0|11|1|0|0|27|43|2|0|0|0|356|2024|4|25|15|33|6|4|N
8|8|714|C|1|0|U|675|19|15|47|E0808|129|82|143|0|12|21|24|32|30|8|0|0|1|45|12|4|0|0|13|427|2024|4|25|15|33|57|4|N
9|2|1084|B|1|0|U|466|5|6|50|E0902|38|50|36|0|8|4|0|7|17|0|1|1|0|13|0|0|0|0|5|142|2024|4|25|14|6|13|4|N
9|2|1096|C|1|0|U|385|5|6|50|E0902|40|127|93|1|1|7|4|1|0|2|2|0|0|0|6|1|0|1|10|256|2024|4|25|14|4|48|4|N
9|2|1111|B|1|0|U|586|5|2|50|E0902|91|45|146|0|12|8|0|0|22|0|1|4|1|16|2|0|0|0|15|272|2024|4|25|14|10|53|4|N
9|2|1161|C|1|0|U|570|5|6|50|E0902|123|0|116|1|6|24|6|15|39|12|6|0|0|68|17|0|0|0|14|324|2024|4|25|14|7|40|4|N
9|2|1274|B|1|0|U|516|5|4|50|E0902|13|132|56|22|9|25|0|0|0|3|0|3|3|111|15|3|0|0|23|405|2024|4|25|14|7|21|4|N
9|2|1326|C|1|0|U|403|5|2|50|E0902|92|58|106|0|3|12|0|0|15|1|0|0|0|27|5|0|0|0|0|227|2024|4|25|14|10|28|4|N
9|2|4586|C|1|0|U|716|15|9|50|E0902|160|0|165|7|18|21|0|0|28|10|3|0|0|0|23|0|0|2|18|295|2024|4|25|14|5|34|4|N
9|2|4605|B|1|0|U|749|15|9|50|E0902|162|176|135|5|4|25|0|0|21|22|0|0|0|63|14|0|0|0|0|465|2024|4|25|14|10|27|4|N
10|3|23|B|1|0|R|616|1|8|73|E1003|4|0|198|0|28|2|0|104|7|0|0|0|0|6|0|0|0|0|53|398|2024|4|25|14|11|24|1|N
10|3|95|C|1|0|U|531|4|14|73|E1003|27|7|65|14|0|13|0|0|29|0|18|0|13|0|0|0|0|0|77|236|2024|4|25|15|18|26|4|N
10|3|689|B|1|0|U|746|12|13|73|E1003|56|12|114|0|137|37|29|0|22|0|6|0|0|12|0|5|0|9|117|500|2024|4|25|14|4|46|4|N
10|3|1065|C|2|0|U|549|25|9|73|E1003|145|7|83|0|21|6|3|46|0|0|1|0|0|2|0|2|0|0|54|225|2024|4|25|14|3|38|4|N
10|3|1379|B|1|0|U|676|39|14|73|E1003|171|82|0|0|110|0|0|0|134|0|19|0|0|19|0|0|0|0|143|507|2024|4|25|14|12|52|4|N
10|3|1461|B|1|0|U|690|12|13|73|E1003|51|64|68|9|68|43|1|35|41|0|9|1|0|0|0|5|0|0|141|485|2024|4|25|15|0|58|4|N
9|3|55|C|1|0|U|445|2|5|51|E0903|139|139|11|12|22|5|5|0|26|14|0|0|0|37|21|1|0|0|9|302|2024|4|25|15|19|19|4|N
9|3|208|C|4|0|U|684|2|3|51|E0903|41|126|41|11|13|22|8|35|98|15|0|0|2|53|32|3|0|2|0|461|2024|4|25|14|14|41|4|N
9|3|216|C|1|0|U|728|2|3|51|E0903|55|208|44|0|21|16|9|0|18|0|4|1|3|60|67|0|0|0|15|466|2024|4|25|15|12|36|4|N
9|3|266|C|1|0|U|651|2|5|51|E0903|161|158|0|0|26|8|6|0|58|3|4|3|4|30|32|0|0|2|2|336|2024|4|25|14|15|45|4|N
9|3|281|C|1|0|U|522|2|5|51|E0903|169|123|54|9|15|25|7|45|46|23|10|0|0|30|25|0|0|1|0|413|2024|4|25|15|39|2|1|N
12|2|137|C|1|0|U|532|1|9|91|E1202|10|0|109|4|9|0|0|0|0|0|29|0|3|0|0|3|0|0|189|346|2024|4|25|14|6|1|4|N
12|2|154|B|1|0|U|598|1|9|91|E1202|15|78|0|77|6|66|0|72|41|0|0|0|0|37|0|3|0|3|22|405|2024|4|25|15|17|15|4|N
12|2|174|B|1|0|U|638|1|6|91|E1202|27|158|48|55|7|0|6|102|14|0|8|1|0|13|0|0|0|0|28|440|2024|4|25|15|17|43|1|N
12|2|186|B|1|0|U|658|1|6|91|E1202|27|0|0|86|2|68|0|192|16|0|9|1|1|0|0|0|0|0|10|385|2024|4|25|15|14|49|1|N
12|2|262|C|1|0|U|663|1|3|91|E1202|107|156|2|0|3|0|9|277|2|0|11|0|1|21|0|1|0|1|15|499|2024|4|25|15|46|45|4|N
12|2|292|B|1|0|U|584|1|6|91|E1202|55|174|45|41|0|0|10|24|0|0|1|1|0|0|0|0|0|0|14|310|2024|4|25|14|17|32|4|N
12|2|2825|C|2|0|U|654|1|7|91|E1202|72|92|154|17|6|32|1|35|32|0|7|4|1|0|0|1|0|0|67|449|2024|4|25|15|23|18|1|N
12|2|2826|B|1|0|U|750|1|7|91|E1202|73|10|0|50|0|179|0|123|17|0|0|14|0|0|0|0|0|11|88|492|2024|4|25|15|32|18|1|N
